Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	common|beta	common|z	common|p-value	common|fdr	common|wald-p-value	common|wald-fdr	BG11_Control|beta	BG11_Control|z	BG11_Control|p-value	BG11_Control|fdr	BG11_Control|wald-p-value	BG11_Control|wald-fdr	BG11_Lys|beta	BG11_Lys|z	BG11_Lys|p-value	BG11_Lys|fdr	BG11_Lys|wald-p-value	BG11_Lys|wald-fdr
slr6047	5	0.0087244	2.355	0.49199	0.99779	0.018524	0.092492	0.0010906	2.355	0.49199	0.99779	0.018524	0.092492	0.02793	1.2893	0.64048	0.99097	0.19729	0.43849	-0.02684	-1.2389	0.65826	0.99154	0.21537	0.4573
slr6063	2	0.010125	0.70168	0.55432	0.99779	0.48288	0.66578	0.0012656	0.70168	0.55432	0.99779	0.48288	0.66578	-0.14576	-1.7237	0.17331	0.80396	0.084764	0.27493	0.14703	1.7385	0.17057	0.80589	0.082123	0.26805
slr6107	5	-0.024419	-2.3241	0.20555	0.8888	0.020122	0.098154	-0.0030524	-2.3241	0.20555	0.8888	0.020122	0.098154	0.022499	0.36611	0.69812	0.99194	0.71428	0.85273	-0.025551	-0.41576	0.67018	0.99154	0.67759	0.8315
sll6109	5	-0.0050327	-0.67918	0.73564	0.99804	0.49702	0.67635	-0.00062909	-0.67918	0.73564	0.99804	0.49702	0.67635	-0.020297	-0.46727	0.78546	0.99194	0.64031	0.80848	0.019668	0.45273	0.79113	0.99154	0.65074	0.81231
sll6060	5	0.005985	1.1959	0.6354	0.99804	0.23174	0.43382	0.00074813	1.1959	0.6354	0.99804	0.23174	0.43382	-0.0186	-0.63361	0.80871	0.99194	0.52633	0.73576	0.019348	0.65902	0.79445	0.99154	0.50988	0.72184
slr6100	5	-0.0037623	-0.93562	0.79836	0.99804	0.34947	0.55254	-0.00047028	-0.93562	0.79836	0.99804	0.34947	0.55254	0.017149	0.72843	0.76358	0.99194	0.46635	0.69387	-0.017619	-0.74835	0.76377	0.99154	0.45425	0.68258
slr6103	5	0.01189	2.0465	0.35483	0.97271	0.040709	0.1552	0.0014863	2.0465	0.35483	0.97271	0.040709	0.1552	-0.022312	-0.65645	0.76182	0.99194	0.51153	0.72462	0.023798	0.70014	0.74267	0.99154	0.48384	0.69932
slr6049	5	0.0090686	1.353	0.47909	0.99779	0.17605	0.3683	0.0011336	1.353	0.47909	0.99779	0.17604	0.3683	-0.0028721	-0.072897	0.99902	0.99941	0.94189	0.97718	0.0040057	0.10164	0.98652	0.99843	0.91904	0.96499
aspA	5	0.16334	0.72697	0.0013677	0.040698	0.46724	0.65445	0.020417	0.72697	0.0013677	0.040698	0.46724	0.65445	-1.2274	-0.93377	0	0	0.35042	0.59504	1.2478	0.94936	0.0011723	0.051282	0.34244	0.58714
slr1851	5	0.007758	2.377	0.54279	0.99779	0.017453	0.088985	0.00096975	2.377	0.54279	0.99779	0.017453	0.088985	0.0019183	0.10052	0.93806	0.99664	0.91993	0.9646	-0.00094854	-0.049704	0.95545	0.99843	0.96036	0.98243
dnaJ2	5	-0.083271	-4.1374	0.00078156	0.027778	3.5126e-05	0.00055316	-0.010409	-4.1374	0.00078156	0.027778	3.5126e-05	0.00055316	-0.28998	-2.422	0.075225	0.61502	0.015435	0.096739	0.27957	2.3354	0.081477	0.63761	0.019521	0.11081
slr1140	5	0.018608	1.0922	0.1864	0.86044	0.27476	0.47937	0.0023261	1.0922	0.1864	0.86044	0.27476	0.47937	-0.092036	-0.92286	0.25694	0.90192	0.35608	0.60166	0.094362	0.94613	0.2501	0.89825	0.34408	0.58839
pobA	5	0.00080417	0.20865	0.94998	0.99804	0.83472	0.90657	0.00010052	0.20865	0.94998	0.99804	0.83472	0.90657	0.028138	1.243	0.63814	0.99097	0.21387	0.4597	-0.028038	-1.2383	0.644	0.99154	0.2156	0.4573
slr1906	5	0.0090759	0.78743	0.47831	0.99779	0.43103	0.62556	0.0011345	0.78743	0.47831	0.99779	0.43103	0.62556	-0.06032	-0.89301	0.41852	0.96864	0.37185	0.61528	0.061455	0.90972	0.40875	0.96419	0.36297	0.60354
slr1143	5	-0.0049126	-0.87767	0.7417	0.99804	0.38012	0.58237	-0.00061408	-0.87767	0.7417	0.99804	0.38012	0.58237	-0.009136	-0.2787	0.9279	0.99664	0.78048	0.89056	0.008522	0.25994	0.93376	0.99843	0.79491	0.89782
ssr2315	2	0.0043104	0.63461	0.85522	0.99804	0.52568	0.69836	0.0005388	0.63461	0.85522	0.99804	0.52568	0.69836	0.014684	0.36986	0.82356	0.99194	0.71149	0.85259	-0.014145	-0.35627	0.83255	0.99154	0.72164	0.85677
slr1383	5	-0.0036384	-0.86918	0.80578	0.99804	0.38475	0.58593	-0.00045479	-0.86918	0.80578	0.99804	0.38475	0.58593	0.026751	1.0865	0.6526	0.9911	0.27725	0.52652	-0.027206	-1.1047	0.65416	0.99154	0.26929	0.51715
ssr2317	5	0.0014127	0.11614	0.91462	0.99804	0.90755	0.95084	0.00017659	0.11614	0.91462	0.99804	0.90755	0.95084	0.077373	1.0791	0.26944	0.91167	0.28053	0.53017	-0.077196	-1.0763	0.27765	0.92	0.28179	0.52699
slr1147	5	-0.0028185	-0.56226	0.84857	0.99804	0.57394	0.73694	-0.00035231	-0.56226	0.84857	0.99804	0.57394	0.73694	-0.03881	-1.3213	0.59242	0.99097	0.18639	0.42683	0.038457	1.3092	0.59574	0.99124	0.19046	0.42715
slr1702	5	0.023075	1.9457	0.13521	0.75546	0.051691	0.18015	0.0028843	1.9457	0.13521	0.75546	0.051691	0.18015	0.14082	2.0288	0.072685	0.60848	0.042482	0.18088	-0.13793	-1.987	0.079914	0.634	0.046919	0.18911
ssr1698	5	0.010354	1.1411	0.41774	0.99779	0.25381	0.4581	0.0012942	1.1411	0.41774	0.99779	0.25381	0.4581	-0.16088	-3.0281	0.13853	0.74842	0.0024613	0.027686	0.16217	3.0523	0.13931	0.7553	0.0022708	0.025769
pilJ	5	0.018394	2.1689	0.18894	0.86044	0.030092	0.12649	0.0022993	2.1689	0.18894	0.86044	0.030092	0.12649	-0.11607	-2.328	0.19285	0.83556	0.019914	0.11348	0.11837	2.3738	0.19109	0.83447	0.017605	0.10405
slr1908	5	-0.0015783	-0.24334	0.91696	0.99804	0.80774	0.88961	-0.00019728	-0.24334	0.91696	0.99804	0.80774	0.88961	0.18169	4.7708	0.031458	0.41071	1.8346e-06	0.00011737	-0.18189	-4.7747	0.032044	0.4173	1.7994e-06	0.00011807
slr1909	5	-0.00073828	-0.22405	0.96581	0.99804	0.82272	0.89857	-9.2285e-05	-0.22405	0.96581	0.99804	0.82272	0.89857	-0.06226	-3.2288	0.40328	0.96811	0.0012429	0.016867	0.062168	3.2239	0.40582	0.96419	0.0012646	0.016854
slr1704	5	-0.014101	-2.2236	0.41657	0.99779	0.026176	0.11581	-0.0017626	-2.2236	0.41657	0.99779	0.026176	0.11581	0.033632	0.90401	0.58343	0.98907	0.36599	0.6099	-0.035394	-0.95125	0.57444	0.98658	0.34148	0.58602
ctaD	5	0.0092011	1.8952	0.46952	0.99779	0.05806	0.19336	0.0011501	1.8952	0.46952	0.99779	0.05806	0.19336	-0.033749	-1.1887	0.64342	0.99097	0.23457	0.4824	0.0349	1.2291	0.63111	0.99154	0.21903	0.46245
ctaE	5	-0.0013313	-0.26235	0.93161	0.99804	0.79305	0.88178	-0.00016642	-0.26235	0.93161	0.99804	0.79305	0.88178	-0.012642	-0.42588	0.8857	0.99664	0.67019	0.82891	0.012476	0.42026	0.88511	0.99698	0.6743	0.8302
ctaC	5	0.014853	3.3417	0.2628	0.93144	0.00083264	0.0084385	0.0018567	3.3417	0.2628	0.93144	0.00083264	0.0084385	-0.031586	-1.2145	0.66647	0.99194	0.22455	0.471	0.033442	1.2858	0.64459	0.99154	0.1985	0.43902
bfr	5	0.0016498	0.40057	0.90113	0.99804	0.68874	0.81509	0.00020623	0.40057	0.90113	0.99804	0.68874	0.81509	0.027856	1.1566	0.64088	0.99097	0.24744	0.49687	-0.02765	-1.148	0.6483	0.99154	0.25098	0.49692
ftsH2	5	-0.056125	-3.5927	0.013286	0.20795	0.00032729	0.0039193	-0.0070157	-3.5927	0.013286	0.20795	0.00032729	0.0039193	0.32282	3.5144	0.00039078	0.021505	0.00044068	0.0081681	-0.32984	-3.5897	0.00039078	0.022989	0.00033102	0.006379
sll0984	5	-0.024588	-3.0443	0.20164	0.88508	0.0023321	0.020333	-0.0030735	-3.0443	0.20164	0.88508	0.0023321	0.020333	0.084775	1.7877	0.23583	0.88345	0.073822	0.2525	-0.087849	-1.8522	0.22489	0.87538	0.063999	0.22782
ssl3615	5	0.0048077	0.87797	0.70887	0.99804	0.37996	0.58237	0.00060096	0.87797	0.70887	0.99804	0.37996	0.58237	0.026704	0.83103	0.65299	0.9914	0.40596	0.64305	-0.026103	-0.81217	0.6653	0.99154	0.41669	0.65081
ssl3446	5	-0.0079831	-1.6179	0.61606	0.99779	0.10568	0.27428	-0.00099789	-1.6179	0.61606	0.99779	0.10568	0.27428	0.00051756	0.017911	0.95506	0.99664	0.98571	0.99381	-0.0015155	-0.05244	0.94939	0.99843	0.95818	0.98177
slr1907	5	-0.021764	-1.9736	0.25107	0.92066	0.048424	0.1738	-0.0027205	-1.9736	0.25107	0.92066	0.048424	0.1738	-0.018047	-0.27902	0.81692	0.99194	0.78023	0.89056	0.015326	0.23694	0.8431	0.99154	0.81271	0.90679
rnb	5	0.016058	1.6034	0.23447	0.90498	0.10884	0.27741	0.0020072	1.6034	0.23447	0.90498	0.10884	0.27741	0.25248	4.3033	0.0042986	0.11579	1.6831e-05	0.00069468	-0.25048	-4.2682	0.0046893	0.12632	1.9703e-05	0.00076979
slr2030	5	0.0084317	1.7239	0.50625	0.99779	0.084717	0.24128	0.001054	1.7239	0.50625	0.99779	0.084717	0.24128	0.066761	2.3276	0.32532	0.94074	0.019934	0.11348	-0.065707	-2.2904	0.33548	0.94548	0.021997	0.11933
sll1942	5	0.018039	3.0059	0.19597	0.87522	0.0026477	0.022288	0.0022548	3.0059	0.19597	0.87522	0.0026477	0.022288	0.0080492	0.2289	0.86557	0.99664	0.81895	0.91264	-0.0057944	-0.16475	0.89742	0.99698	0.86914	0.93741
ssr3410	5	0.048411	1.4886	0.041618	0.42323	0.13658	0.3186	0.0060514	1.4886	0.041618	0.42323	0.13658	0.3186	-0.24935	-1.3111	0.089683	0.65156	0.18982	0.43026	0.2554	1.3429	0.090074	0.65861	0.17929	0.41521
sll1940	5	0.016093	2.9334	0.23427	0.90498	0.0033532	0.026468	0.0020117	2.9334	0.23427	0.90498	0.0033532	0.026468	0.0083738	0.26077	0.86088	0.99664	0.79427	0.89687	-0.0063621	-0.1981	0.89117	0.99698	0.84296	0.92442
sll1946	5	0.016089	3.5724	0.23427	0.90498	0.00035378	0.0041609	0.0020111	3.5724	0.23427	0.90498	0.00035378	0.0041609	-0.046053	-1.7479	0.52169	0.98134	0.08048	0.26643	0.048064	1.8241	0.50156	0.98015	0.068131	0.23721
leuS	5	-0.062273	-4.2825	0.0078156	0.13889	1.8481e-05	0.00031529	-0.0077842	-4.2825	0.0078156	0.13889	1.8481e-05	0.00031529	0.22441	2.6142	0.0089879	0.18699	0.0089437	0.067216	-0.23219	-2.7038	0.0080109	0.173	0.0068557	0.05623
sll1945	5	-0.080363	-5.2595	0.0011723	0.036364	1.4446e-07	4.4539e-06	-0.010045	-5.2595	0.0011723	0.036364	1.4446e-07	4.4539e-06	-0.067207	-0.74491	0.37476	0.96048	0.45633	0.68475	0.057161	0.63346	0.43845	0.97294	0.52643	0.73401
ndhF	5	-0.00015286	-0.02488	0.99687	0.99824	0.98015	0.99021	-1.9108e-05	-0.024881	0.99687	0.99824	0.98015	0.99021	-0.076456	-2.1262	0.32181	0.93739	0.033489	0.15585	0.076437	2.1255	0.32298	0.93715	0.033542	0.15424
hypB	5	-0.002742	-0.49948	0.8519	0.99804	0.61744	0.76581	-0.00034275	-0.49948	0.8519	0.99804	0.61744	0.76581	0.055901	1.7361	0.39312	0.96649	0.082549	0.271	-0.056244	-1.7465	0.39683	0.9637	0.080733	0.26555
ureC	5	-0.0049813	-1.2322	0.73955	0.99804	0.21789	0.41814	-0.00062266	-1.2322	0.73955	0.99804	0.21789	0.41814	0.034555	1.4597	0.57562	0.98496	0.14438	0.37189	-0.035178	-1.4858	0.57601	0.98727	0.13732	0.3605
tyrS2	3	-0.00090353	-0.25913	0.9068	0.99804	0.79553	0.88269	-0.00011294	-0.25913	0.9068	0.99804	0.79553	0.88269	0.035171	1.7248	0.61723	0.99097	0.084556	0.27481	-0.035284	-1.7303	0.62329	0.99154	0.083579	0.27119
hemN	5	0.012983	2.4813	0.31751	0.95599	0.013091	0.072586	0.0016229	2.4813	0.31751	0.95599	0.013091	0.072586	-0.098125	-3.2065	0.23388	0.88015	0.0013436	0.017769	0.099748	3.2594	0.22978	0.8809	0.0011164	0.015422
sll1824	5	-0.051228	-3.8295	0.021688	0.29211	0.0001284	0.0017385	-0.0064035	-3.8295	0.021688	0.29211	0.0001284	0.0017385	0.33883	4.3292	0.00019539	0.012821	1.4964e-05	0.00064887	-0.34523	-4.4106	0.00019539	0.014085	1.0307e-05	0.00046574
lepB2	5	-0.0054239	-0.23048	0.72157	0.99804	0.81772	0.89559	-0.00067798	-0.23048	0.72157	0.99804	0.81772	0.89559	-0.15301	-1.1085	0.14615	0.76041	0.26764	0.51768	0.15233	1.1036	0.14967	0.76747	0.26979	0.51753
slr1142	5	-0.011221	-2.2618	0.50547	0.99779	0.023709	0.10883	-0.0014027	-2.2618	0.50547	0.99779	0.023709	0.10883	-0.01786	-0.61447	0.8179	0.99194	0.5389	0.74463	0.016457	0.56617	0.82786	0.99154	0.57128	0.7626
ftsI	5	-0.045221	-3.9168	0.034584	0.3758	8.9742e-05	0.0012688	-0.0056526	-3.9168	0.034584	0.3758	8.9742e-05	0.0012688	0.36799	5.3963	0	0	6.8032e-08	7.921e-06	-0.37365	-5.4761	0	0	4.3487e-08	5.5642e-06
sll1830	5	0.003333	0.78102	0.79934	0.99804	0.43479	0.62894	0.00041662	0.78102	0.79934	0.99804	0.43479	0.62894	-0.052743	-2.1108	0.47089	0.97626	0.034786	0.1593	0.05316	2.1274	0.46522	0.97509	0.033389	0.15395
slr1378	5	-0.21043	-11.367	0	0	6.1316e-30	1.5691e-26	-0.026304	-11.367	0	0	6.1316e-30	1.5691e-26	-0.26319	-2.4091	0.084213	0.64627	0.015994	0.098971	0.23688	2.1681	0.099258	0.68097	0.03015	0.14474
slr1376	5	-0.042406	-5.1226	0.042009	0.42323	3.0136e-07	8.8135e-06	-0.0053008	-5.1226	0.042009	0.42323	3.0136e-07	8.8135e-06	0.25213	5.1928	0.0042986	0.11579	2.071e-07	1.8275e-05	-0.25744	-5.301	0.0041032	0.11538	1.1518e-07	1.1336e-05
slr2013	5	0.0049	1.0536	0.70418	0.99804	0.29207	0.49711	0.00061251	1.0536	0.70418	0.99804	0.29207	0.49711	-0.066052	-2.4239	0.38277	0.96647	0.015355	0.096739	0.066664	2.4462	0.37964	0.95903	0.014438	0.09225
slr2012	5	0.0070943	1.6328	0.57562	0.99779	0.10251	0.26998	0.00088678	1.6328	0.57562	0.99779	0.10251	0.26998	-0.024573	-0.96525	0.73701	0.99194	0.33442	0.58137	0.02546	0.99999	0.72372	0.99154	0.31732	0.56349
slr2011	5	0.006659	1.2966	0.5975	0.99779	0.19476	0.39213	0.00083238	1.2966	0.5975	0.99779	0.19476	0.39213	-0.0024622	-0.08174	0.99297	0.99823	0.93485	0.97248	0.0032946	0.10936	0.99472	0.99843	0.91292	0.96118
sll1286	5	0.0013728	0.23687	0.91755	0.99804	0.81276	0.89302	0.0001716	0.23687	0.91755	0.99804	0.81276	0.89302	0.091346	2.6935	0.20594	0.84727	0.0070698	0.058167	-0.091174	-2.6883	0.21082	0.85499	0.0071825	0.05717
slr2017	5	0.0096396	1.8645	0.45213	0.99779	0.062254	0.19971	0.0012049	1.8645	0.45213	0.99779	0.062254	0.19971	-0.08924	-2.9447	0.26592	0.91167	0.003233	0.034067	0.090445	2.9842	0.2626	0.9094	0.0028435	0.030638
slr2016	5	0.010219	2.3287	0.42458	0.99779	0.019876	0.097251	0.0012774	2.3287	0.42458	0.99779	0.019876	0.097251	-0.057453	-2.2342	0.4365	0.97343	0.025471	0.13115	0.05873	2.2837	0.42673	0.97067	0.022391	0.12025
cpcC2	5	-0.043978	-4.9414	0.036928	0.38969	7.7553e-07	1.9552e-05	-0.0054973	-4.9414	0.036928	0.38969	7.7553e-07	1.9552e-05	-0.021206	-0.40542	0.77628	0.99194	0.68517	0.83692	0.015708	0.30027	0.83822	0.99154	0.76397	0.88192
sll1293	5	-0.0029254	-0.5162	0.84232	0.99804	0.60572	0.75945	-0.00036567	-0.5162	0.84232	0.99804	0.60572	0.75945	-0.051285	-1.5461	0.48202	0.9778	0.12208	0.3392	0.050919	1.535	0.48202	0.9751	0.12479	0.3426
slr2019	5	0.008598	1.6326	0.49766	0.99779	0.10255	0.26998	0.0010748	1.6326	0.49766	0.99779	0.10255	0.26998	0.076967	2.4961	0.27159	0.91267	0.012556	0.085116	-0.075892	-2.461	0.28273	0.92058	0.013854	0.090096
slr2018	5	0.0042922	0.8423	0.73916	0.99804	0.39962	0.59772	0.00053653	0.8423	0.73916	0.99804	0.39962	0.59772	-0.031063	-1.0396	0.67175	0.99194	0.29851	0.54681	0.031599	1.0575	0.66295	0.99154	0.2903	0.53617
sll1289	5	0.0047256	0.96677	0.71336	0.99804	0.33366	0.53751	0.00059071	0.96677	0.71336	0.99804	0.33366	0.53751	0.03901	1.3625	0.53322	0.98134	0.17303	0.41036	-0.03842	-1.3417	0.54435	0.98127	0.17968	0.41554
comEc	5	0.0073059	1.1275	0.56526	0.99779	0.25953	0.4626	0.00091324	1.1275	0.56526	0.99779	0.25953	0.4626	-0.018736	-0.49359	0.80696	0.99194	0.62159	0.79473	0.019649	0.5176	0.79132	0.99154	0.60474	0.78356
slr1148	5	0.0097569	1.6542	0.44646	0.99779	0.098086	0.26322	0.0012196	1.6542	0.44646	0.99779	0.098086	0.26322	-0.078594	-2.2775	0.31223	0.93739	0.022754	0.12271	0.079814	2.3128	0.30832	0.93421	0.020735	0.115
ndhD5	5	0.0051578	1.1971	0.68757	0.99804	0.23129	0.4336	0.00064473	1.1971	0.68757	0.99804	0.23129	0.4336	-0.007685	-0.30428	0.94431	0.99664	0.76092	0.88	0.0083298	0.32976	0.93572	0.99843	0.74158	0.86712
ssr2318	3	-0.010227	-1.9367	0.55764	0.99779	0.052782	0.1824	-0.0012783	-1.9367	0.55764	0.99779	0.052782	0.1824	0.016331	0.52896	0.7882	0.99194	0.59684	0.78012	-0.01761	-0.57033	0.78038	0.99154	0.56845	0.76081
clcD	5	0.012635	2.1989	0.32767	0.96066	0.027886	0.12019	0.0015793	2.1989	0.32767	0.96066	0.027886	0.12019	-0.052972	-1.5763	0.46932	0.97626	0.11495	0.32982	0.054551	1.6232	0.45545	0.97294	0.10454	0.30942
zntC	5	0.035574	1.5455	0.071122	0.55136	0.12221	0.29839	0.0044468	1.5455	0.071122	0.55136	0.12221	0.29839	-0.0166	-0.12335	0.83431	0.99194	0.90183	0.95707	0.021047	0.15639	0.77706	0.99154	0.87572	0.9404
proB	5	0.0060691	1.0541	0.63032	0.99804	0.29182	0.49703	0.00075864	1.0541	0.63032	0.99804	0.29182	0.49703	0.04908	1.4493	0.44744	0.97343	0.14727	0.37515	-0.048321	-1.4264	0.46014	0.97395	0.15375	0.3839
slr1920	5	1.7411e-05	0.0030698	0.9914	0.99804	0.99755	0.99822	2.1763e-06	0.0030698	0.9914	0.99804	0.99755	0.99822	6.3865e-06	0.00019163	0.96092	0.99664	0.99985	0.99994	-4.2101e-06	-0.0001263	0.96698	0.99843	0.9999	0.9999
sll1934	5	0.028161	0.74962	0.10356	0.66085	0.45349	0.64399	0.0035202	0.74962	0.10356	0.66085	0.45349	0.64399	-0.33996	-1.5452	0.059007	0.55515	0.1223	0.33949	0.34348	1.5613	0.060375	0.56182	0.11845	0.33219
folP	5	0.0010614	0.1672	0.93474	0.99804	0.86721	0.92795	0.00013267	0.1672	0.93474	0.99804	0.86721	0.92795	-0.071397	-1.9243	0.35053	0.94939	0.054314	0.20916	0.07153	1.9279	0.35053	0.948	0.053873	0.20607
sll1930	1	0.037518	1.4349	0.10199	0.65414	0.1513	0.33742	0.0046897	1.4349	0.10199	0.65414	0.1513	0.33742	0.14571	0.95332	0.28156	0.91492	0.34043	0.58661	-0.14102	-0.92261	0.29504	0.92695	0.35621	0.5997
speB	5	0.01112	1.8802	0.38589	0.98406	0.060076	0.19647	0.00139	1.8802	0.38589	0.98406	0.060076	0.19647	-0.036152	-1.0429	0.62036	0.99097	0.29698	0.54569	0.037542	1.0829	0.60434	0.99154	0.27885	0.52583
sll1834	5	-0.026135	-1.1405	0.17878	0.85037	0.25408	0.45821	-0.0032668	-1.1405	0.17878	0.85037	0.25408	0.45821	-0.43566	-3.2282	0.034193	0.43103	0.0012457	0.016867	0.43239	3.2046	0.036928	0.45455	0.0013524	0.017856
sll1835	5	-0.001998	-0.74538	0.89605	0.99804	0.45604	0.64672	-0.00024975	-0.74538	0.89605	0.99804	0.45604	0.64672	0.021264	1.3546	0.7118	0.99194	0.17556	0.41221	-0.021513	-1.3704	0.71864	0.99154	0.17058	0.40567
sll1832	5	-0.027653	-1.5701	0.15807	0.80739	0.1164	0.28863	-0.0034567	-1.5701	0.15807	0.80739	0.1164	0.28863	0.57736	5.5527	0	0	2.8128e-08	4.6438e-06	-0.58082	-5.5822	0	0	2.3754e-08	3.9597e-06
ycf23	5	-0.0018491	-0.24969	0.90348	0.99804	0.80283	0.88613	-0.00023113	-0.24969	0.90348	0.99804	0.80283	0.88613	0.17164	3.9426	0.039664	0.47209	8.0614e-05	0.0023712	-0.17187	-3.9466	0.04025	0.47796	7.9282e-05	0.0022925
sll1938	5	-0.044957	-3.5847	0.03517	0.37815	0.00033752	0.0040138	-0.0056196	-3.5847	0.03517	0.37815	0.00033752	0.0040138	-0.10329	-1.4054	0.2202	0.86703	0.15991	0.39291	0.097666	1.3288	0.23623	0.88726	0.18391	0.4202
slr2008	5	0.037612	1.2917	0.066041	0.53481	0.19645	0.39383	0.0047015	1.2917	0.066041	0.53481	0.19645	0.39383	-0.26331	-1.5466	0.084213	0.64627	0.12195	0.3392	0.26801	1.5742	0.08519	0.64905	0.11543	0.32801
mrcB	5	0.0026709	0.43658	0.83959	0.99804	0.66242	0.79677	0.00033386	0.43658	0.83959	0.99804	0.66242	0.79677	0.06057	1.6878	0.36147	0.94977	0.091455	0.28858	-0.060237	-1.6782	0.36811	0.9496	0.093309	0.29013
cydA	5	0.0053231	1.1293	0.678	0.99804	0.25876	0.4624	0.00066539	1.1293	0.678	0.99804	0.25876	0.4624	0.011352	0.41043	0.82649	0.99194	0.68149	0.83458	-0.010686	-0.3863	0.84017	0.99154	0.69927	0.84624
cydB	5	0.020148	1.6298	0.16647	0.82638	0.10314	0.27074	0.0025185	1.6298	0.16647	0.82638	0.10314	0.27074	-0.17217	-2.3791	0.12935	0.7323	0.017355	0.10411	0.17469	2.4138	0.13013	0.73673	0.015786	0.097694
hisD2	5	-0.012019	-1.8259	0.47753	0.99779	0.06787	0.21148	-0.0015023	-1.8259	0.47753	0.99779	0.06787	0.21148	0.13262	3.4274	0.088902	0.65156	0.00060946	0.010127	-0.13413	-3.4653	0.087925	0.65502	0.00052973	0.0088719
sll1292	5	0.00065433	0.12645	0.95604	0.99804	0.89938	0.94751	8.1791e-05	0.12645	0.95604	0.99804	0.89938	0.94751	0.013397	0.44198	0.80324	0.99194	0.65851	0.81977	-0.013315	-0.43924	0.81223	0.99154	0.66049	0.81909
gumB	5	0.0078977	0.96972	0.53576	0.99779	0.33218	0.53659	0.00098721	0.96972	0.53576	0.99779	0.33218	0.53659	-0.0268	-0.56243	0.71297	0.99194	0.57383	0.76803	0.027788	0.58311	0.70047	0.99154	0.55982	0.75653
sll1291	5	0.020575	1.6483	0.16178	0.81373	0.099282	0.26506	0.0025719	1.6483	0.16178	0.81373	0.099282	0.26506	-0.09302	-1.2744	0.25283	0.89601	0.20253	0.44463	0.095592	1.3096	0.2456	0.89533	0.19034	0.42708
sll1296	5	-0.018197	-1.5547	0.31575	0.95599	0.12003	0.29463	-0.0022746	-1.5547	0.31575	0.95599	0.12003	0.29463	-0.046627	-0.68094	0.51641	0.98134	0.49591	0.71407	0.044352	0.6477	0.53595	0.98127	0.51718	0.72658
slr2005	5	-0.012462	-2.2569	0.46249	0.99779	0.024017	0.10971	-0.0015577	-2.2569	0.46249	0.99779	0.024017	0.10971	0.058689	1.8137	0.37436	0.96048	0.069727	0.24357	-0.060247	-1.8616	0.36811	0.9496	0.062661	0.22506
slr2006	5	0.057832	1.1396	0.028722	0.33787	0.25445	0.45839	0.007229	1.1396	0.028722	0.33787	0.25445	0.45839	-0.42335	-1.4266	0.035756	0.44526	0.1537	0.38467	0.43058	1.451	0.037124	0.45455	0.14679	0.37368
rub	5	-0.037187	-3.4723	0.067409	0.54147	0.00051595	0.0056788	-0.0046484	-3.4723	0.067409	0.54147	0.00051595	0.0056788	0.029596	0.47145	0.62231	0.99097	0.63732	0.80677	-0.034244	-0.54545	0.58343	0.98907	0.58545	0.77045
slr1150	5	0.0059215	0.92381	0.63892	0.99804	0.35558	0.55916	0.00074018	0.92381	0.63892	0.99804	0.35558	0.55916	0.065658	1.7515	0.33255	0.94673	0.079859	0.26506	-0.064918	-1.7317	0.34076	0.94754	0.083333	0.27079
rpl31	5	-0.078728	-4.2119	0.0017585	0.048387	2.5328e-05	0.00041816	-0.0098411	-4.2119	0.0017585	0.048387	2.5328e-05	0.00041816	0.42267	3.7521	0	0	0.00017538	0.0041944	-0.43251	-3.8339	0	0	0.0001261	0.0032432
sqdB	5	-0.055745	-3.669	0.013482	0.20909	0.00024345	0.0030243	-0.0069681	-3.669	0.013482	0.20909	0.00024345	0.0030243	0.05573	0.62599	0.3941	0.96649	0.53132	0.73945	-0.062698	-0.70419	0.35424	0.948	0.48131	0.69725
lig2	5	0.04448	2.1761	0.048847	0.46041	0.029545	0.12497	0.00556	2.1761	0.048847	0.46041	0.029545	0.12497	-0.43567	-3.6437	0.034193	0.43103	0.0002687	0.0055904	0.44123	3.691	0.03517	0.44118	0.00022341	0.0048657
ziaA	5	-0.0028499	-0.59427	0.84623	0.99804	0.55233	0.71893	-0.00035623	-0.59427	0.84623	0.99804	0.55233	0.71893	-0.015721	-0.55878	0.84584	0.99244	0.57632	0.76873	0.015365	0.54604	0.84291	0.99154	0.58504	0.77032
slr1032	4	0.012511	1.9823	0.3474	0.97107	0.047443	0.17172	0.0015639	1.9823	0.3474	0.97107	0.047443	0.17172	-0.062903	-1.7034	0.41657	0.96864	0.088496	0.28272	0.064467	1.7456	0.40445	0.96419	0.080873	0.26566
sll1924	5	0.0045617	1.2904	0.72411	0.99804	0.19691	0.39423	0.00057021	1.2904	0.72411	0.99804	0.19691	0.39423	-0.057396	-2.7776	0.4365	0.97343	0.0054766	0.049002	0.057966	2.8051	0.43259	0.97294	0.0050303	0.045892
sll1925	5	0.0080947	0.79839	0.52521	0.99779	0.42464	0.62005	0.0010118	0.79839	0.52521	0.99779	0.42464	0.62005	0.02331	0.39197	0.68953	0.99194	0.69508	0.84459	-0.022298	-0.3749	0.70809	0.99154	0.70774	0.84949
sll1926	5	-0.0029751	-0.45606	0.84017	0.99804	0.64835	0.7865	-0.00037189	-0.45606	0.84017	0.99804	0.64835	0.7865	-0.044477	-1.1636	0.53419	0.98134	0.24458	0.49399	0.044105	1.1538	0.53849	0.98127	0.24859	0.4949
